,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
323,2/18/2018,21537,50512,255151,938,40
324,2/19/2018,25677,62150,255217,553,50
325,2/20/2018,44478,98129,255306,906,85
326,2/21/2018,53110,118306,255430,1596,77
327,2/22/2018,27010,54857,255485,147,18
328,2/23/2018,25633,49639,255534,165,22
329,2/24/2018,25550,61251,255597,956,51
330,2/25/2018,16149,34052,255654,231,18
331,2/26/2018,42570,84614,255747,448,54
332,2/27/2018,48514,107682,255836,664,48
333,2/28/2018,50707,100855,255944,637,52
334,3/1/2018,45562,91489,256022,571,45
335,3/2/2018,6855,23277,256050,21,7
336,3/3/2018,28361,61107,256117,851,56
337,3/4/2018,25262,60490,256189,704,33
338,3/5/2018,36774,75190,256263,357,47
339,3/6/2018,42688,80995,256307,516,27
340,3/7/2018,8188,22312,256333,16,7
341,3/8/2018,28440,53403,256360,188,17
342,3/9/2018,34912,70068,256393,344,43
343,3/10/2018,25443,59343,256438,689,43
344,3/11/2018,27596,67622,256517,1173,46
345,3/12/2018,36339,76569,256578,351,39
346,3/13/2018,23137,46021,256623,133,14
347,3/14/2018,35377,62352,256673,269,39
348,3/15/2018,39572,72192,256724,462,66
349,3/16/2018,34921,62381,256763,383,55
350,3/17/2018,27671,62524,256823,1015,56
351,3/18/2018,25158,55182,256880,839,36
352,3/19/2018,39278,83086,256933,544,39
353,3/20/2018,35532,69573,256986,187,17
354,3/21/2018,3755,11799,257004,3,1
355,3/22/2018,27308,61715,257040,216,25
356,3/23/2018,38527,77668,257098,543,55
357,3/24/2018,34396,79562,257167,1755,88
358,3/25/2018,25562,62656,257226,710,24
359,3/26/2018,40295,88831,257315,718,87
360,3/27/2018,41354,88986,257378,524,63
361,3/28/2018,41880,80607,257447,586,64
362,3/29/2018,39288,84590,257501,544,65
363,3/30/2018,34784,78825,257584,1006,147
364,3/31/2018,41779,109399,257701,3856,151
